id,tweetText,tweetURL,type,tweetAuthor,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL
1736510382431228096,Aeropuerto de #Quito instaló las primeras puertas biométricas de control migratorio https://t.co/Q2Y7QpEsE8 https://t.co/lVQS1sYo8O,https://twitter.com/eluniversocom/status/1736510382431228096,tweet,El Universo,5,1,8,52,18484,1,2023-12-17 17:15:12,https://pbs.twimg.com/media/GBlS_bAWcAAf8zn.jpg
1736506615442948327,"Severo temporal deja 16 muertos en Argentina y Uruguay
https://t.co/eeRzZw8UpS https://t.co/lvl9s4jDf7",https://twitter.com/eluniversocom/status/1736506615442948327,tweet,El Universo,0,0,1,6,8398,0,2023-12-17 17:00:14,https://pbs.twimg.com/media/GBlPkILXEAAD7ME.jpg
1736505672152367558,"‘Dios quiso a Renato para él, pero no era la manera’, le arrebataron su vida a los 5 años https://t.co/ABi1Ocse6j https://t.co/bx6TPoTTKI",https://twitter.com/eluniversocom/status/1736505672152367558,tweet,El Universo,1,0,3,15,17220,0,2023-12-17 16:56:29,https://pbs.twimg.com/media/GBlOtPjWEAAk52s.jpg
1736501566981480772,"Vecinos de Los Ceibos reportan incidentes por retiro de rejas
https://t.co/hEpgFBYuj5 https://t.co/OmWoAiw6sp",https://twitter.com/eluniversocom/status/1736501566981480772,tweet,El Universo,6,0,2,29,21597,1,2023-12-17 16:40:10,https://pbs.twimg.com/media/GBlK-TmXAAAJJh8.jpg
1736496536920441236,"[En vivo] Liga de Quito vs. Independiente del Valle en la gran final de la Liga Pro
https://t.co/iP0yIpxMDb https://t.co/EOB6XPotP3",https://twitter.com/eluniversocom/status/1736496536920441236,tweet,El Universo,0,0,1,14,8655,0,2023-12-17 16:20:11,https://pbs.twimg.com/media/GBlGZgCXUAA2O7J.jpg
1736491510407774537,"Lucio Gutiérrez planteará al pleno de la Asamblea Nacional el archivo del juicio político a la fiscal Diana Salazar
https://t.co/UAiU9xE0bY https://t.co/jD6WmAEiiJ",https://twitter.com/eluniversocom/status/1736491510407774537,tweet,El Universo,209,20,402,2200,137088,5,2023-12-17 16:00:13,https://pbs.twimg.com/media/GBlB06EXsAARb_o.jpg
1736491406783353342,"Liga de Quito vs. Independiente del Valle en la gran final de la Liga Pro

🏆 #LigaPro
📋 Final de vuelta
🗓 #LDUQ vs. #IDV (0-0)
🏟  Rodrigo Paz Delgado, Quito.
⏲ 16:30

En vivo ►https://t.co/FoXeRRsBLL https://t.co/buxAMQqlVX",https://twitter.com/eluniversocom/status/1736491406783353342,retweet,El Universo,0,0,2,0,-,0,2023-12-17 15:59:48,
1736486470368534837,"Ecuador pidió a Estados Unidos incluir a sector pesquero artesanal en los esquemas de cooperación
https://t.co/dZRSXirl1O https://t.co/2AVHsYnwcP",https://twitter.com/eluniversocom/status/1736486470368534837,tweet,El Universo,0,0,7,40,12127,1,2023-12-17 15:40:11,https://pbs.twimg.com/media/GBk9PlMXIAE0MfQ.jpg
1736481440487887135,"Asamblea Nacional debatirá el martes proyecto de ley urgente de eficiencia económica y generación de empleo
https://t.co/yu1rIWNdeM https://t.co/K1tvbfb8hL",https://twitter.com/eluniversocom/status/1736481440487887135,tweet,El Universo,1,0,1,15,8799,1,2023-12-17 15:20:12,https://pbs.twimg.com/media/GBk4qy4XQAAZlgo.jpg
1736476424721059958,"‘Ya está virándose… ya se va, se fue la casita de Jacinto’: lluvias provocan inundaciones en Pastaza
https://t.co/mnfh8IQXlR https://t.co/McXN6Y6Ejo",https://twitter.com/eluniversocom/status/1736476424721059958,tweet,El Universo,3,2,21,74,19630,0,2023-12-17 15:00:16,https://pbs.twimg.com/media/GBk0G0pWEAANJQa.jpg
1736473459083866610,"Ecuador invitó a empresas ‘offshores’ a concurso para suministrar electricidad
https://t.co/HhkPU0Vix5 https://t.co/uFYukOSazu",https://twitter.com/eluniversocom/status/1736473459083866610,tweet,El Universo,1,0,7,22,12476,1,2023-12-17 14:48:29,https://pbs.twimg.com/media/GBkxaNvWcAAsPxZ.jpg
1736461324463267958,Tres extranjeros detenidos en la frontera norte cuando transportaban en una lancha químicos para fabricación naval https://t.co/fteTruZzke https://t.co/nNq19N7zXT,https://twitter.com/eluniversocom/status/1736461324463267958,tweet,El Universo,0,0,6,26,9399,0,2023-12-17 14:00:16,https://pbs.twimg.com/media/GBkmX4CXMAMKW6h.jpg
1736455012157358187,"Ecuador pidió a Estados Unidos incluir a sector pesquero artesanal en los esquemas de cooperación 
https://t.co/gM2dVCJ3ez https://t.co/D4cFtfCQQl",https://twitter.com/eluniversocom/status/1736455012157358187,tweet,El Universo,2,1,10,72,11054,1,2023-12-17 13:35:11,https://pbs.twimg.com/media/GBkgocfWkAAYmmp.jpg
1736453753153237182,Presunto ladrón murió al ser golpeado y acuchillado en #Quevedo  https://t.co/0G2oxT36u1 https://t.co/poTXR59lEm,https://twitter.com/eluniversocom/status/1736453753153237182,tweet,El Universo,35,8,69,883,69467,4,2023-12-17 13:30:11,https://pbs.twimg.com/media/GBkffHSWMAAhT8S.jpg
1736451242027589864,#Entretenimiento | Gigi Mieles: “Yo no hago nada por marketing; yo abrí mi corazón con el público”  https://t.co/Ex8U2MbtLZ https://t.co/bpIOKtFTrf,https://twitter.com/eluniversocom/status/1736451242027589864,tweet,El Universo,6,0,3,21,23721,0,2023-12-17 13:20:12,https://pbs.twimg.com/media/GBkdNBXWMAAwZGL.jpg
1736448612417024017,"Asamblea Nacional debatirá el martes proyecto de ley urgente de eficiencia económica y generación de empleo
https://t.co/6fI83jwPYk https://t.co/GLUUfZZvcB",https://twitter.com/eluniversocom/status/1736448612417024017,tweet,El Universo,1,1,2,25,9373,0,2023-12-17 13:09:45,https://pbs.twimg.com/media/GBkaz7kWAAAlF4q.jpg
1736446223282741381,"#Entretenimiento | ‘Mi pobre angelito’, ‘Duro de matar’ y otras películas infaltables de la temporada navideña, ¿dónde verlas?https://t.co/9S3WurIYto https://t.co/IOhNLuwZRR",https://twitter.com/eluniversocom/status/1736446223282741381,tweet,El Universo,2,0,8,22,14877,1,2023-12-17 13:00:15,https://pbs.twimg.com/media/GBkYo5QXMAEA96D.jpg
1736439914953056696,"Acuerdos comerciales: equipos negociadores de Ecuador y Canadá están ansiosos por seguir adelante, aseguró embajador de Canadá  
https://t.co/TrtJ3dOcYP https://t.co/rg9SfY4m2N",https://twitter.com/eluniversocom/status/1736439914953056696,tweet,El Universo,0,0,3,18,8938,1,2023-12-17 12:35:11,https://pbs.twimg.com/media/GBkS5slX0AAeVQa.jpg
1736438655059743231,"Familias “aseguran” su monigote en calle 6 de Marzo: hasta de otras provincias acuden a comprar al mayor
https://t.co/95cBRW11P3 https://t.co/qr7P8Hxbk1",https://twitter.com/eluniversocom/status/1736438655059743231,tweet,El Universo,1,0,3,26,9148,0,2023-12-17 12:30:11,https://pbs.twimg.com/media/GBkRwVNXAAAN7me.jpg
1736434878466367891,"#Navidad | Descubra si su estilo de decoración navideña es azul, rosa, dorada, blanca o clásica https://t.co/4gYrt3n0sl https://t.co/CYfLI6Rhhc",https://twitter.com/eluniversocom/status/1736434878466367891,tweet,El Universo,0,2,1,11,8302,0,2023-12-17 12:15:11,https://pbs.twimg.com/media/GBkOUguWgAEOCFQ.jpg
1736431119287849252,"#Opinión | Sergio Cedeño Amador: El zapote, árbol típico del campo montuvio ecuatoriano | Columnistas  https://t.co/zCy7w9Kxud https://t.co/Llk2FpJNaC",https://twitter.com/eluniversocom/status/1736431119287849252,tweet,El Universo,9,5,71,490,29702,6,2023-12-17 12:00:14,https://pbs.twimg.com/media/GBkK5rhWMAAAnXa.jpg
1736428586494534090,"#Seguridad | Más del 70 % de los crímenes de 2023 se concentran en estos 30 cantones
https://t.co/mMXtBrRQYW https://t.co/OidnBZC0MG",https://twitter.com/eluniversocom/status/1736428586494534090,tweet,El Universo,3,0,9,26,12265,0,2023-12-17 11:50:10,https://pbs.twimg.com/media/GBkImSgWcAA6SLK.jpg
1736423236802388258,"Un conductor en aparente estado de embriaguez se estrelló contra un poste de la av. Samborondón
https://t.co/iBBj7A1UxA https://t.co/neoda3H0xj",https://twitter.com/eluniversocom/status/1736423236802388258,tweet,El Universo,1,1,4,16,27201,0,2023-12-17 11:28:55,https://pbs.twimg.com/media/GBkDu3GWMAAiHi1.jpg
1736416026768572883,"Sicarios matan a tres hombres en el portal de una casa: Manta registra cinco asesinatos este fin de semana 
https://t.co/qws3p2yrHM https://t.co/hWwB8oKOZ5",https://twitter.com/eluniversocom/status/1736416026768572883,tweet,El Universo,7,2,19,54,22044,0,2023-12-17 11:00:16,https://pbs.twimg.com/media/GBj9LMUXAAA0bjP.jpg
1736408451796857233,"‘Vine lo más pronto a hacer el cambio de mi cédula’: personas con discapacidad renuevan documento ya que carné perderá vigencia  
https://t.co/V6h1g5qY3C",https://twitter.com/eluniversocom/status/1736408451796857233,tweet,El Universo,0,0,3,8,9081,0,2023-12-17 10:30:10,
1736407198895411415,"El más alto riesgo país en tres años, aupado por la asfixiante falta de liquidez
https://t.co/2xFxLzdccy https://t.co/jNlxbHUGcL",https://twitter.com/eluniversocom/status/1736407198895411415,tweet,El Universo,34,11,44,191,47065,3,2023-12-17 10:25:11,https://pbs.twimg.com/media/GBj1JUmXQAA65Kr.jpg
